idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
117, 0.26885, 0.26885, 0.26885, ramp_w, 0.186, 0.2848, 0.3079, NaN, NaN, NaN, NaN, NaN, NaN
118, 0.271152, 0.271152, 0.271152, ramp_w, 0.185, 0.2833, 0.3083, NaN, NaN, NaN, NaN, NaN, NaN
119, 0.273474, 0.273474, 0.273474, ramp_w, 0.186, 0.2833, 0.31, NaN, NaN, NaN, NaN, NaN, NaN
120, 0.275815, 0.275815, 0.275815, ramp_w, 0.186, 0.2833, 0.31, NaN, NaN, NaN, NaN, NaN, NaN
121, 0.278177, 0.278177, 0.278177, ramp_w, 0.186, 0.2843, 0.311, NaN, NaN, NaN, NaN, NaN, NaN
122, 0.280558, 0.280558, 0.280558, ramp_w, 0.186, 0.2838, 0.3105, NaN, NaN, NaN, NaN, NaN, NaN
123, 0.282961, 0.282961, 0.282961, ramp_w, 0.187, 0.2855, 0.3122, NaN, NaN, NaN, NaN, NaN, NaN
124, 0.285383, 0.285383, 0.285383, ramp_w, 0.185, 0.2843, 0.3094, NaN, NaN, NaN, NaN, NaN, NaN
125, 0.287827, 0.287827, 0.287827, ramp_w, 0.188, 0.2848, 0.3113, NaN, NaN, NaN, NaN, NaN, NaN
126, 0.290291, 0.290291, 0.290291, ramp_w, 0.186, 0.2831, 0.3116, NaN, NaN, NaN, NaN, NaN, NaN
127, 0.292777, 0.292777, 0.292777, ramp_w, 0.186, 0.2821, 0.3105, NaN, NaN, NaN, NaN, NaN, NaN
128, 0.295284, 0.295284, 0.295284, ramp_w, 0.185, 0.2843, 0.3094, NaN, NaN, NaN, NaN, NaN, NaN
129, 0.297812, 0.297812, 0.297812, ramp_w, 0.184, 0.2833, 0.3103, NaN, NaN, NaN, NaN, NaN, NaN
130, 0.300362, 0.300362, 0.300362, ramp_w, 0.195, 0.2821, 0.309, NaN, NaN, NaN, NaN, NaN, NaN
131, 0.302934, 0.302934, 0.302934, ramp_w, 0.195, 0.2848, 0.3085, NaN, NaN, NaN, NaN, NaN, NaN
132, 0.305527, 0.305527, 0.305527, ramp_w, 0.194, 0.2846, 0.3084, NaN, NaN, NaN, NaN, NaN, NaN
133, 0.308143, 0.308143, 0.308143, ramp_w, 0.199, 0.2835, 0.3066, NaN, NaN, NaN, NaN, NaN, NaN
134, 0.310782, 0.310782, 0.310782, ramp_w, 0.198, 0.2828, 0.306, NaN, NaN, NaN, NaN, NaN, NaN
135, 0.313443, 0.313443, 0.313443, ramp_w, 0.2, 0.2844, 0.3091, NaN, NaN, NaN, NaN, NaN, NaN
136, 0.316126, 0.316126, 0.316126, ramp_w, 0.2, 0.2842, 0.3106, NaN, NaN, NaN, NaN, NaN, NaN
137, 0.318833, 0.318833, 0.318833, ramp_w, 0.198, 0.2828, 0.306, NaN, NaN, NaN, NaN, NaN, NaN
138, 0.321563, 0.321563, 0.321563, ramp_w, 0.198, 0.2809, 0.3056, NaN, NaN, NaN, NaN, NaN, NaN
139, 0.324316, 0.324316, 0.324316, ramp_w, 0.212, 0.2804, 0.3033, NaN, NaN, NaN, NaN, NaN, NaN
140, 0.327093, 0.327093, 0.327093, ramp_w, 0.213, 0.2802, 0.303, NaN, NaN, NaN, NaN, NaN, NaN
141, 0.329894, 0.329894, 0.329894, ramp_w, 0.212, 0.2806, 0.302, NaN, NaN, NaN, NaN, NaN, NaN
142, 0.332718, 0.332718, 0.332718, ramp_w, 0.218, 0.2814, 0.3007, NaN, NaN, NaN, NaN, NaN, NaN
143, 0.335567, 0.335567, 0.335567, ramp_w, 0.216, 0.28, 0.2979, NaN, NaN, NaN, NaN, NaN, NaN
144, 0.33844, 0.33844, 0.33844, ramp_w, 0.219, 0.2788, 0.3008, NaN, NaN, NaN, NaN, NaN, NaN
145, 0.341338, 0.341338, 0.341338, ramp_w, 0.225, 0.2778, 0.2976, NaN, NaN, NaN, NaN, NaN, NaN
146, 0.344261, 0.344261, 0.344261, ramp_w, 0.228, 0.2801, 0.3012, NaN, NaN, NaN, NaN, NaN, NaN
147, 0.347208, 0.347208, 0.347208, ramp_w, 0.228, 0.2801, 0.3012, NaN, NaN, NaN, NaN, NaN, NaN
148, 0.350181, 0.350181, 0.350181, ramp_w, 0.233, 0.2802, 0.2995, NaN, NaN, NaN, NaN, NaN, NaN
149, 0.35318, 0.35318, 0.35318, ramp_w, 0.231, 0.2798, 0.2992, NaN, NaN, NaN, NaN, NaN, NaN
