observer,age,session_id,repetition,luminance,frequency,color_direction,alpha,beta,size_ge,trial,contrast,response
rafal,41,274,1,10,1,3,0,0,-0.5,20,0.033138,1
rafal,41,274,1,10,4,1,0,0,-0.5,16,0.01275,1
rafal,41,274,1,10,1,3,0,0,-0.5,21,0.032682,1
rafal,41,274,1,10,4,2,0,0,-0.5,17,0.027174,1
rafal,41,274,1,10,4,3,0,0,-0.5,22,0.045562,1
rafal,41,274,1,10,4,3,0,0,-0.5,23,0.043708,0
rafal,41,274,1,10,4,2,0,0,-0.5,18,0.0268,0
rafal,41,274,1,10,1,3,0,0,-0.5,22,0.03179,1
rafal,41,274,1,10,1,1,0,0,-0.5,17,0.004974,1
rafal,41,274,1,10,4,1,0,0,-0.5,17,0.012574,1
rafal,41,274,1,10,1,3,0,0,-0.5,23,0.030922,1
rafal,41,274,1,10,1,1,0,0,-0.5,18,0.004706,1
rafal,41,274,1,10,1,3,0,0,-0.5,24,0.030497,1
rafal,41,274,1,10,1,1,0,0,-0.5,19,0.004452,0
rafal,41,274,1,10,4,3,0,0,-0.5,24,0.047494,1
rafal,41,274,1,10,4,2,0,0,-0.5,19,0.027174,0
rafal,41,274,1,10,1,1,0,0,-0.5,20,0.004771,1
rafal,41,274,1,10,4,2,0,0,-0.5,20,0.027937,0
rafal,41,274,1,10,1,1,0,0,-0.5,21,0.004641,0
rafal,41,274,1,10,1,1,0,0,-0.5,22,0.004838,0
rafal,41,274,1,10,1,1,0,0,-0.5,23,0.005185,1
rafal,41,274,1,10,4,1,0,0,-0.5,18,0.012401,1
rafal,41,274,1,10,4,1,0,0,-0.5,19,0.012231,0
rafal,41,274,1,10,1,1,0,0,-0.5,24,0.004974,1
rafal,41,274,1,10,4,3,0,0,-0.5,25,0.045562,0
rafal,41,274,1,10,1,3,0,0,-0.5,25,0.029664,0
rafal,41,274,1,10,1,1,0,0,-0.5,25,0.004905,1
rafal,41,274,1,10,1,3,0,0,-0.5,26,0.030497,0
rafal,41,274,1,10,1,3,0,0,-0.5,27,0.031353,1
rafal,41,274,1,10,4,1,0,0,-0.5,20,0.012401,1
rafal,41,274,1,10,4,1,0,0,-0.5,21,0.012401,0
rafal,41,274,1,10,4,1,0,0,-0.5,22,0.012574,1
rafal,41,274,1,10,4,3,0,0,-0.5,26,0.048827,0
rafal,41,274,1,10,4,2,0,0,-0.5,21,0.029121,1
rafal,41,274,1,10,4,1,0,0,-0.5,23,0.012401,1
rafal,41,274,1,10,4,1,0,0,-0.5,24,0.012401,1
rafal,41,274,1,10,4,2,0,0,-0.5,22,0.028721,1
rafal,41,274,1,10,4,1,0,0,-0.5,25,0.012401,0
rafal,41,274,1,10,4,2,0,0,-0.5,23,0.028326,1
rafal,41,274,1,10,4,2,0,0,-0.5,24,0.027937,1
rafal,41,274,1,10,4,2,0,0,-0.5,25,0.027937,1
rafal,41,274,1,10,4,3,0,0,-0.5,27,0.056077,1
rafal,41,274,1,10,4,3,0,0,-0.5,28,0.052326,1
rafal,41,274,1,10,4,2,0,0,-0.5,26,0.027553,1
rafal,41,274,1,10,4,2,0,0,-0.5,27,0.027553,1
rafal,41,274,1,10,4,2,0,0,-0.5,28,0.027174,1
rafal,41,274,1,10,4,2,0,0,-0.5,29,0.027174,0
rafal,41,274,1,10,4,2,0,0,-0.5,30,0.027174,0
rafal,41,274,1,10,4,2,0,0,-0.5,31,0.027553,0
rafal,41,274,1,10,4,2,0,0,-0.5,32,0.027937,1
rafal,41,274,1,100,1,2,0,0,-0.5,1,0.007396,1
rafal,41,274,1,100,1,1,0,0,-0.5,1,0.040225,1
rafal,41,274,1,100,4,3,0,0,-0.5,1,0.074995,0
rafal,41,274,1,100,4,2,0,0,-0.5,1,0.011842,0
rafal,41,274,1,100,4,1,0,0,-0.5,1,0.025829,1
rafal,41,274,1,100,4,1,0,0,-0.5,2,0.022803,1
rafal,41,274,1,100,1,3,0,0,-0.5,1,0.028457,1
rafal,41,274,1,100,4,1,0,0,-0.5,3,0.020413,1
rafal,41,274,1,100,1,1,0,0,-0.5,2,0.035513,1
rafal,41,274,1,100,1,3,0,0,-0.5,2,0.025124,1
rafal,41,274,1,100,4,2,0,0,-0.5,2,0.014575,0
rafal,41,274,1,100,1,3,0,0,-0.5,3,0.02249,1
rafal,41,274,1,100,1,1,0,0,-0.5,3,0.03179,1
rafal,41,274,1,100,4,2,0,0,-0.5,3,0.016972,1
rafal,41,274,1,100,4,1,0,0,-0.5,4,0.018786,1
rafal,41,274,1,100,4,2,0,0,-0.5,4,0.015837,1
rafal,41,274,1,100,1,1,0,0,-0.5,4,0.029256,1
rafal,41,274,1,100,1,2,0,0,-0.5,2,0.00653,1
rafal,41,274,1,100,4,3,0,0,-0.5,2,0.092303,1
rafal,41,274,1,100,1,1,0,0,-0.5,5,0.026924,1
rafal,41,274,1,100,1,1,0,0,-0.5,6,0.025124,1
rafal,41,274,1,100,1,3,0,0,-0.5,4,0.020697,0
rafal,41,274,1,100,4,1,0,0,-0.5,5,0.017289,0
rafal,41,274,1,100,4,3,0,0,-0.5,3,0.084946,0
rafal,41,274,1,100,1,2,0,0,-0.5,3,0.005845,1
rafal,41,274,1,100,1,1,0,0,-0.5,7,0.02377,1
rafal,41,274,1,100,4,1,0,0,-0.5,6,0.019048,1
rafal,41,274,1,100,4,3,0,0,-0.5,4,0.094894,0
rafal,41,274,1,100,4,1,0,0,-0.5,7,0.018528,0
rafal,41,274,1,100,4,3,0,0,-0.5,5,0.108983,1
rafal,41,274,1,100,1,3,0,0,-0.5,5,0.023121,0
rafal,41,274,1,100,1,3,0,0,-0.5,6,0.026189,0
rafal,41,274,1,100,1,2,0,0,-0.5,4,0.00538,1
rafal,41,274,1,100,4,3,0,0,-0.5,6,0.103112,0
rafal,41,274,1,100,4,1,0,0,-0.5,8,0.019582,1
rafal,41,274,1,100,4,3,0,0,-0.5,7,0.112042,0
rafal,41,274,1,100,1,3,0,0,-0.5,7,0.030497,1
rafal,41,274,1,100,4,1,0,0,-0.5,9,0.019048,1
rafal,41,274,1,100,4,2,0,0,-0.5,5,0.015193,0
rafal,41,274,1,100,1,1,0,0,-0.5,8,0.02249,1
rafal,41,274,1,100,1,1,0,0,-0.5,9,0.021278,1
rafal,41,274,1,100,4,1,0,0,-0.5,10,0.018786,1
rafal,41,274,1,100,1,2,0,0,-0.5,5,0.004951,1
rafal,41,274,1,100,1,1,0,0,-0.5,10,0.020132,1
rafal,41,274,1,100,4,2,0,0,-0.5,6,0.016058,1
rafal,41,274,1,100,4,1,0,0,-0.5,11,0.018528,1
rafal,41,274,1,100,4,2,0,0,-0.5,7,0.01562,1
rafal,41,274,1,100,1,2,0,0,-0.5,6,0.00462,1
rafal,41,274,1,100,1,1,0,0,-0.5,11,0.019313,0
rafal,41,274,1,100,1,1,0,0,-0.5,12,0.020697,1
rafal,41,274,1,100,1,3,0,0,-0.5,8,0.028457,0
rafal,41,274,1,100,4,3,0,0,-0.5,8,0.125164,1
rafal,41,274,1,100,4,3,0,0,-0.5,9,0.118422,1
rafal,41,274,1,100,1,3,0,0,-0.5,9,0.032233,1
rafal,41,274,1,100,1,1,0,0,-0.5,13,0.020132,1
rafal,41,274,1,100,4,2,0,0,-0.5,8,0.015405,0
rafal,41,274,1,100,4,3,0,0,-0.5,10,0.115188,1
rafal,41,274,1,100,4,2,0,0,-0.5,9,0.015837,1
rafal,41,274,1,100,4,3,0,0,-0.5,11,0.112042,1
rafal,41,274,1,100,1,2,0,0,-0.5,7,0.004371,1
rafal,41,274,1,100,1,1,0,0,-0.5,14,0.019855,1
rafal,41,274,1,100,1,2,0,0,-0.5,8,0.004135,1
rafal,41,274,1,100,4,2,0,0,-0.5,10,0.01562,1
rafal,41,274,1,100,1,1,0,0,-0.5,15,0.019582,1
rafal,41,274,1,100,1,3,0,0,-0.5,10,0.030077,0
rafal,41,274,1,100,4,2,0,0,-0.5,11,0.01562,0
rafal,41,274,1,100,4,1,0,0,-0.5,12,0.018273,1
rafal,41,274,1,100,4,3,0,0,-0.5,12,0.108983,1
rafal,41,274,1,100,1,3,0,0,-0.5,11,0.033138,1
rafal,41,274,1,100,4,3,0,0,-0.5,13,0.107485,1
rafal,41,274,1,100,4,3,0,0,-0.5,14,0.10455,1
rafal,41,274,1,100,4,2,0,0,-0.5,12,0.015837,0
rafal,41,274,1,100,1,1,0,0,-0.5,16,0.019313,1
rafal,41,274,1,100,4,1,0,0,-0.5,13,0.018022,0
rafal,41,274,1,100,1,1,0,0,-0.5,17,0.019048,1
rafal,41,274,1,100,1,2,0,0,-0.5,9,0.003913,0
rafal,41,274,1,100,4,1,0,0,-0.5,14,0.018528,1
rafal,41,274,1,100,1,2,0,0,-0.5,10,0.004193,1
rafal,41,274,1,100,4,2,0,0,-0.5,13,0.016058,1
rafal,41,274,1,100,1,2,0,0,-0.5,11,0.004079,1
rafal,41,274,1,100,1,2,0,0,-0.5,12,0.004022,1
rafal,41,274,1,100,1,3,0,0,-0.5,12,0.031353,1
rafal,41,274,1,100,1,3,0,0,-0.5,13,0.030922,1
rafal,41,274,1,100,1,2,0,0,-0.5,13,0.003967,1
rafal,41,274,1,100,4,2,0,0,-0.5,14,0.015837,0
rafal,41,274,1,100,1,1,0,0,-0.5,18,0.018273,0
rafal,41,274,1,100,1,1,0,0,-0.5,19,0.019313,1
rafal,41,274,1,100,1,2,0,0,-0.5,14,0.003913,1
rafal,41,274,1,100,1,2,0,0,-0.5,15,0.003806,1
rafal,41,274,1,100,1,1,0,0,-0.5,20,0.019048,1
rafal,41,274,1,100,1,3,0,0,-0.5,14,0.030497,1
